No,Youtuber,subscribers,video views,video count,category,started
379,Мирошка ТВ,"18,000,000","4,603,751,673",84,Education,2018
380,ElTrollino,"18,000,000","5,486,103,239","1,517",Entertainment,2013
381,TheOdd1sOut,"18,000,000","4,023,496,321",113,Comedy,2014
382,INCRÍVEL,"18,000,000","3,017,467,860","5,682",People & Blogs,2017
383,Emiway Bantai,"18,000,000","3,038,899,728",201,Music,2013
384,Diana and Roma EN,"17,900,000","3,868,166,958",424,People & Blogs,2011
385,Farruko,"17,900,000","8,480,000,414",193,Music,2009
386,Lele Pons,"17,800,000","4,958,584,356",154,Comedy,2015
387,Demi Lovato,"17,800,000","6,495,131,112",282,Music,2008
388,Like Nastya Vlog,"17,800,000","7,561,933,732",397,People & Blogs,2016
389,ArianaGrandeVevo,"17,800,000","19,011,269,725",177,Music,2010
390,Naisa Alifia Yuriza (N.A.Y),"17,800,000","2,521,515,641","1,462",People & Blogs,2017
391,Lil Pump,"17,800,000","4,091,109,829",59,Music,2015
392,TheGrefg,"17,700,000","6,077,820,746","3,332",Gaming,2012
393,Marmok,"17,700,000","3,131,925,799",344,Gaming,2008
394,Good Mythical Morning,"17,700,000","8,074,270,215","2,980",Entertainment,2008
395,Ali-A,"17,700,000","5,766,028,299","3,920",Gaming,2006
396,SCTV,"17,700,000","8,588,329,369","50,080",Entertainment,2011
397,JFlaMusic,"17,600,000","3,657,526,529",282,Music,2011
398,Village Cooking Channel,"17,600,000","4,477,436,881",211,Howto & Style,2018
399,Mother Goose Club Playhouse,"17,600,000","15,500,399,390","1,282",Shows,2009
400,Little Angel Español - Canciones Infantiles,"17,600,000","8,525,569,510",580,Education,2018
401,Познаватель,"17,600,000","8,522,826,642",476,Entertainment,2014
402,RsiamMusic : อาร์สยาม,"17,600,000","10,952,154,122","2,663",Music,2011
403,FactTechz,"17,500,000","2,112,929,572",578,Entertainment,2016
404,officialpsy,"17,400,000","9,825,292,199",119,Music,2010
405,Sebastián Yatra,"17,400,000","9,316,925,082",196,News & Politics,2013
406,Vlad and Niki IDN,"17,400,000","8,231,518,268",392,,2018
407,Porta dos Fundos,"17,400,000","7,258,838,590","1,960",Entertainment,2012
408,Liza Koshy,"17,400,000","2,595,554,113",189,Comedy,2013
409,Stubborn Facts,"17,300,000","827,786,482",217,Film & Animation,2016
410,TED-Ed,"17,300,000","3,287,834,094","1,948",Education,2011
411,Vijay Television,"17,300,000","19,901,616,359","27,059",Entertainment,2007
412,etvteluguindia,"17,300,000","19,465,295,267","111,360",Entertainment,2010
413,EeOneGuy,"17,200,000","3,804,413,513",363,Entertainment,2013
414,Masha e o Urso,"17,200,000","7,131,816,532",856,Shows,2016
415,Willyrex,"17,200,000","4,808,457,361","6,686",Gaming,2009
416,PopularMMOs,"17,200,000","14,475,783,059","4,686",Gaming,2012
417,RobleisIUTU,"17,200,000","4,680,573,231","1,145",Entertainment,2013
418,SQUEEZIE,"17,200,000","9,258,609,822","1,471",Gaming,2011
419,LuisFonsiVEVO,"17,100,000","14,008,585,257",96,Music,2009
420,GRAMMY GOLD OFFICIAL,"17,100,000","17,974,040,182","5,334",Music,2014
421,SUPER SLICK SLIME SAM,"17,100,000","6,078,466,417",741,Howto & Style,2018
422,李子柒 Liziqi,"17,100,000","2,801,548,472",128,Howto & Style,2017
423,HowToBasic,"17,100,000","3,561,001,854",563,Howto & Style,2011
424,Khan GS Research Centre,"17,000,000","1,670,639,781",347,Education,2019
425,Gaby and Alex,"17,000,000","7,942,553,236",351,Entertainment,2012
426,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,"17,000,000","6,221,383,175",192,Education,2017
427,شبكة العاب العرب | Arab Games Network,"17,000,000","7,723,277,433","5,515",Gaming,2013
428,Rafa & Luiz,"17,000,000","6,273,315,738","2,184",Entertainment,2015
429,الـريماس - Al-Remas,"16,900,000","10,550,888,024","2,047",Music,2013
430,हिंदी - Genevieve's Playhouse,"16,900,000","9,195,178,282",96,Education,2018
431,Guava Juice,"16,900,000","8,614,218,175","1,754",Gaming,2006
432,Junya.じゅんや,"16,900,000","9,529,205,653","3,150",Entertainment,2020
433,IGN,"16,800,000","14,633,922,961","149,770",Gaming,2006
434,Doggy Doggy Cartoons,"16,800,000","6,459,285,262","4,723",Entertainment,2012
435,Maya and Mary,"16,800,000","6,304,251,610",539,Entertainment,2013
436,Jason Derulo,"16,800,000","8,808,599,101",451,Music,2008
437,Jane ASMR 제인,"16,700,000","6,443,586,305","1,546",,2012
438,Anitta,"16,700,000","6,610,175,435",99,Music,2011
439,DUDU e CAROL,"16,700,000","6,530,946,230","2,874",Autos & Vehicles,2013
440,Triggered Insaan,"16,700,000","2,657,491,028",265,Comedy,2014
441,Werever2morro,"16,700,000","2,714,071,108",972,Entertainment,2007
442,Tu COSMOPOLIS,"16,600,000","4,875,900,353","6,796",People & Blogs,2014
443,7clouds,"16,600,000","11,637,964,945","1,940",Music,2013
444,DeToxoMoroxo,"16,600,000","2,212,149,791",488,Entertainment,2012
445,Manual do Mundo,"16,500,000","3,367,572,384","2,117",Howto & Style,2006
446,Sourav Joshi Vlogs,"16,500,000","5,970,849,535","1,039",People & Blogs,2019
447,TheBrianMaps,"16,500,000","4,090,289,417",476,Comedy,2012
448,Dhar Mann,"16,400,000","8,642,459,264",649,People & Blogs,2018
449,IDEAS EN 5 MINUTOS,"16,400,000","3,509,049,258","4,658",Howto & Style,2017
450,SonyMusicSouthVEVO,"16,400,000","15,090,557,603","4,304",Music,2014
451,zbing z.,"16,400,000","8,307,904,773","2,763",Gaming,2014
452,Goldmines Great Indian Comedy,"16,300,000","4,238,595,667","2,008",Film & Animation,2016
453,W2S,"16,300,000","4,739,609,055",653,Gaming,2012
454,Prajapati News,"16,300,000","907,965,523","1,081",Comedy,2013
455,Shemaroo Comedy,"16,300,000","4,923,411,314","3,467",Entertainment,2007
456,ExtraPolinesios,"16,300,000","4,696,367,446",480,People & Blogs,2012
457,SOMOY TV,"16,200,000","9,476,895,180","124,072",News & Politics,2015
458,Sidhu Moose Wala,"16,200,000","4,078,330,367",111,Music,2017
459,Sandra Cires Art,"16,200,000","3,702,173,328",953,Howto & Style,2011
460,Sony AATH,"16,200,000","10,718,891,416","14,759",Shows,2013
461,Miley Cyrus,"16,200,000","6,235,405,830",124,Entertainment,2009
462,tanboy kun,"16,200,000","3,020,272,233",582,People & Blogs,2016
463,The Game Theorists,"16,100,000","3,546,490,692",659,Gaming,2009
464,Sidemen,"16,100,000","4,196,033,350",264,Entertainment,2015
465,Canal IN,"16,100,000","2,573,050,059",723,People & Blogs,2017
466,Les' Copaque Production,"16,100,000","7,954,662,776","1,427",Film & Animation,2009
467,Blippi - Educational Videos for Kids,"16,100,000","12,991,967,769",453,Education,2014
468,Zuni and Family,"16,100,000","5,830,669,187",176,People & Blogs,2017
469,Travis Scott,"16,100,000","7,187,033,169",13,Music,2013
470,Queen Official,"16,100,000","9,723,539,941",908,Music,2008
471,Antrax,"16,100,000","2,949,891,202",654,Gaming,2015
472,RKD Studios,"16,000,000","4,133,234,619",622,Entertainment,2014
473,FailArmy,"16,000,000","2,041,620,563",337,Comedy,2011
474,Dushyant kukreja,"16,000,000","11,095,340,736",571,Entertainment,2015
475,TRANS TV Official,"16,000,000","8,780,937,851","123,467",Entertainment,2014
476,Little Mix,"16,000,000","7,047,968,268",278,Music,2011
477,Marques Brownlee,"15,900,000","3,082,486,680","1,454",Science & Technology,2008
478,El Reino a Jugar,"15,900,000","10,175,537,321",872,Education,2015
479,VICE,"15,900,000","4,174,962,442","3,694",Entertainment,2005
480,DopeLyrics,"15,900,000","9,803,533,121","1,937",Music,2016
481,Kaykai Salaider,"15,900,000","4,248,704,474",399,Comedy,2011
482,jeffreestar,"15,900,000","2,575,183,135",428,Howto & Style,2006
483,Fede Vigevani,"15,900,000","4,745,414,554",865,Howto & Style,2009
484,Camila Cabello,"15,900,000","6,086,165,889",61,Music,2015
485,Apple,"15,900,000","808,136,104",205,Science & Technology,2005
486,Boyce Avenue,"15,900,000","6,230,190,520",438,Music,2007
487,Kids Play,"15,800,000","7,713,981,883",545,Entertainment,2018
488,MissaSinfonia,"15,800,000","1,918,777,559",232,Comedy,2011
489,Aayu and Pihu Show,"15,800,000","7,837,311,552",352,Comedy,2017
490,JJ Olatunji,"15,800,000","3,631,494,389","1,183",Gaming,2011
491,Katie Angel,"15,800,000","3,007,947,714",732,People & Blogs,2015
492,Matt Stonie,"15,700,000","3,249,162,653",401,Entertainment,2012
493,Rotten Tomatoes Trailers,"15,700,000","12,811,981,848","9,582",Film & Animation,2011
494,Caeli YT,"15,700,000","1,509,244,860",545,Entertainment,2010
495,AMARINTV : อมรินทร์ทีวี,"15,700,000","11,194,074,075","97,231",Entertainment,2014
496,Jennifer Lopez,"15,700,000","9,512,025,119",224,Music,2005
497,Pitbull,"15,700,000","11,458,130,113",302,Music,2006
498,Jason Vlogs,"15,700,000","7,137,778,517",666,Education,2015
499,Alejo Igoa,"15,700,000","5,276,127,016",699,Comedy,2014
500,Enes Batur,"15,700,000","9,410,061,135","1,979",Gaming,2012
501,AdMe,"15,600,000","4,012,749,893","5,356",Entertainment,2015
502,Tilak,"15,600,000","6,132,515,137","3,614",Film & Animation,2020
503,Pop Chartbusters,"15,600,000","7,817,983,360","2,154",Music,2011
504,Roman Atwood Vlogs,"15,500,000","5,442,036,950","1,726",People & Blogs,2013
505,News24,"15,500,000","5,982,443,648","157,377",News & Politics,2014
506,Dyland PROS,"15,500,000","1,294,519,810","1,803",Entertainment,2015
507,FunFun Toy Doll TV,"15,500,000","6,948,469,648",706,Entertainment,2016
508,wifistudy,"15,400,000","2,805,232,542","46,290",Education,2014
509,Smile Family Spanish,"15,400,000","5,534,075,089",343,,2019
510,Gato Galactico | GALÁXIA,"15,400,000","5,602,802,498","2,085",Film & Animation,2013
511,FitDance,"15,400,000","6,541,827,030","3,537",Music,2013
512,Live,"15,300,000",,,,2015
513,RCTI - LAYAR DRAMA INDONESIA,"15,300,000","12,818,689,835","58,886",Entertainment,2015
514,Camilo,"15,200,000","6,003,697,328",80,Music,2010
515,Musas,"15,200,000","2,359,375,167",611,Howto & Style,2012
516,Oyuncak Avı,"15,200,000","8,085,387,780",544,Entertainment,2014
517,Bizarrap,"15,200,000","4,683,488,651",78,Comedy,2017
518,T3ddy,"15,200,000","2,528,566,554","1,700",Comedy,2012
519,SriBalajiMovies,"15,200,000","8,199,671,601","16,953",Entertainment,2011
520,Keraji 5-Menit,"15,200,000","4,465,727,515","3,392",People & Blogs,2018
521,AdeleVEVO,"15,200,000","11,470,355,227",51,Music,2009
522,Dan Rhodes,"15,100,000","10,715,145,365","1,315",Entertainment,2015
523,With Kids[위드키즈],"15,100,000","7,990,515,155",863,Entertainment,2012
524,Technoblade,"15,100,000","1,488,692,745",988,Gaming,2013
525,LOKESH GAMER,"15,100,000","1,535,589,708","1,186",Gaming,2017
526,TheRichest,"15,100,000","2,919,203,136","2,206",Education,2014
527,And TV,"15,100,000","11,583,824,903","26,477",Entertainment,2015
528,Ch7HD,"15,000,000","11,688,798,550","49,889",Entertainment,2010
529,POPS Kids,"15,000,000","8,678,492,072","4,478",Music,2014
530,Makiman131,"15,000,000","4,484,263,923","3,102",Gaming,2013
531,Like Nastya VNM,"15,000,000","8,132,415,475",456,Entertainment,2019
532,حِرف إبداعية في 5 دقائق,"15,000,000","4,160,511,912","4,404",Howto & Style,2017
533,Stokes Twins,"15,000,000","2,774,875,062",216,People & Blogs,2008
534,5-Minute Crafts FAMILY,"15,000,000","5,438,131,771","3,440",People & Blogs,2018
535,SAM SMITH,"15,000,000","8,769,075,543",67,Music,2012
536,zayn,"15,000,000","4,559,692,349",14,Music,2016
537,Ranz Kyle,"15,000,000","1,678,559,984",479,People & Blogs,2008
538,Like Nastya IDN,"15,000,000","6,483,845,834",430,Entertainment,2019
539,НТВ,"14,900,000","439,098",1,People & Blogs,2008
540,Volga Video,"14,900,000","9,171,517,368","18,735",Film & Animation,2012
541,Mariale,"14,900,000","2,568,493,946","1,918",Howto & Style,2010
542,Harsh Beniwal,"14,900,000","1,630,452,954",158,Comedy,2015
543,Kwebbelkop,"14,900,000","6,655,475,239","4,951",Gaming,2008
544,Talking Tom & Friends,"14,900,000","6,178,735,188",392,Entertainment,2010
545,Lahari Music | T-Series,"14,900,000","10,469,251,425","8,169",Music,2011
546,Henrique e Juliano,"14,900,000","12,484,253,152",285,Music,2009
547,MrBeast Shorts,"14,800,000","1,938,796,955",87,People & Blogs,2020
548,ERB,"14,800,000","3,905,723,697",85,Entertainment,2006
549,GMMTV OFFICIAL​​,"14,800,000","10,387,146,066","19,368",Entertainment,2010
550,La Rosa de Guadalupe,"14,800,000","8,349,695,433","5,225",Entertainment,2015
551,Reaction Time,"14,800,000","4,255,591,418","1,684",Entertainment,2015
552,Niana Guerrero,"14,800,000","1,359,023,136",391,Entertainment,2013
553,League of Legends,"14,800,000","6,604,382,784","1,340",Gaming,2009
554,YOLO AVENTURAS,"14,800,000","3,689,834,035",976,People & Blogs,2018
555,Super Senya,"14,800,000","4,790,199,895",525,Entertainment,2016
556,BIGBANG,"14,800,000","7,353,265,213",776,Music,2005
557,Dave and Ava - Nursery Rhymes and Baby Songs,"14,800,000","9,864,262,216",732,Education,2014
558,Lachlan,"14,800,000","5,013,387,703","3,646",Gaming,2013
559,iTownGamePlay *Terror&Diversión*,"14,700,000","4,784,433,628","7,674",Entertainment,2012
560,MK MUSIC,"14,700,000","7,773,089,325","4,624",Music,2010
561,Zé Neto e Cristiano,"14,700,000","10,398,104,437",212,Music,2012
562,Linus Tech Tips,"14,700,000","6,062,569,897","5,864",Science & Technology,2008
563,IDEIAS INCRÍVEIS,"14,700,000","3,498,040,367","4,643",Howto & Style,2017
564,Dangal TV Channel,"14,700,000","8,282,592,676","8,625",Entertainment,2017
565,NDTV India,"14,700,000","5,647,481,648","65,241",News & Politics,2008
566,les boys tv2,"14,700,000","4,518,966,874",381,Entertainment,2017
567,Planeta das Gêmeas,"14,700,000","4,468,774,867",899,People & Blogs,2015
568,LEGENDA FUNK,"14,600,000","1,310,544,121","2,250",Music,2013
569,Maroon5VEVO,"14,600,000","18,917,303,323",143,Music,2009
570,Daftar Populer,"14,600,000","1,859,586,741","2,898",Education,2017
571,Jorge & Mateus Oficial,"14,600,000","7,981,563,626",294,Music,2008
572,Lilly Singh,"14,600,000","3,480,250,258",858,Comedy,2010
573,Major Lazer Official,"14,600,000","8,886,913,617",407,Music,2009
574,MattyBRaps,"14,600,000","3,226,020,734",175,Music,2010
575,BBC News Hindi,"14,600,000","5,544,547,819","16,437",News & Politics,2009
576,NMF News,"14,600,000","6,090,840,731","95,987",News & Politics,2013
577,SelenaGomezVEVO,"14,500,000","10,323,589,482",183,Music,2009
578,Maha Fun Tv,"14,500,000","2,385,190,008",51,Entertainment,2017
579,News18 India,"14,500,000","5,069,817,134","120,858",News & Politics,2007
580,CollegeHumor,"14,500,000","7,331,868,655","3,307",Comedy,2006
581,Fueled By Ramen,"14,500,000","12,629,200,270","1,190",Music,2006
582,Wow Kidz Action,"14,500,000","6,378,481,319","1,445",Film & Animation,2017
583,Drawblogs,"14,500,000","1,694,934,569",362,Entertainment,2014
584,Zhong,"14,500,000","9,685,321,623","1,081",Entertainment,2015
585,El Payaso Plim Plim,"14,500,000","12,573,029,533",992,Film & Animation,2013
586,Thairath Online,"14,500,000","11,995,915,981","209,097",News & Politics,2010
587,Bollywood Classics,"14,500,000","6,036,342,725","1,147",Entertainment,2011
588,Canal Nostalgia,"14,500,000","1,416,689,094",370,Entertainment,2008
589,XpressTV,"14,500,000","3,644,137,000",630,Entertainment,2014
590,Mobile Legends: Bang Bang Official,"14,500,000","2,655,046,551","2,410",Gaming,2016
591,حقائق وأسرار,"14,500,000","2,175,911,149","1,312",Entertainment,2016
592,Team Films Bhojpuri,"14,400,000","6,164,527,861","20,085",Music,2014
593,Дима Масленников,"14,400,000","2,013,234,398",401,Entertainment,2014
594,LIV Crime,"14,400,000","7,061,275,751","4,281",People & Blogs,2020
595,TWICE,"14,400,000","3,733,683,543",852,Music,2016
596,Arif muhammad,"14,400,000","3,400,090,845",428,People & Blogs,2017
597,Boram Tube ToysReview [보람튜브 토이리뷰],"14,400,000","4,914,128,767",568,People & Blogs,2016
598,The Slow Mo Guys,"14,400,000","2,346,592,288",297,Entertainment,2010
599,Cyprien,"14,400,000","3,005,899,595",205,Comedy,2007
600,Fifth Harmony,"14,400,000","7,526,971,366",67,Music,2013
601,Chad Wild Clay,"14,400,000","6,161,605,244",630,Comedy,2006
602,Rclbeauty101,"14,400,000","3,919,524,704",478,Comedy,2010
603,Super Polina,"14,400,000","4,812,187,551",539,People & Blogs,2014
604,Martin Garrix,"14,400,000","5,558,117,744",305,Music,2011
605,mujjuu___14,"14,300,000","9,548,597,909",556,People & Blogs,2020
606,Zach King,"14,300,000","2,014,152,450",398,Entertainment,2013
607,Gyan Gamingㅤ,"14,300,000","2,081,351,545","2,514",Gaming,2017
608,PlayStation,"14,300,000","4,230,572,281","17,878",Gaming,2005
609,It's Mamix,"14,300,000","1,547,521,967",200,People & Blogs,2017
610,Genierock,"14,300,000","13,310,308,313","1,540",Music,2008
611,Camila Loures,"14,200,000","4,189,052,804","3,429",Music,2014
612,Zach Choi ASMR,"14,200,000","2,512,937,687",638,People & Blogs,2014
613,Mohamed Ramadan I محمد رمضان,"14,200,000","4,812,994,887",599,People & Blogs,2014
614,Hear This Music,"14,200,000","8,511,385,256",38,Music,2016
615,Unspeakable,"14,200,000","7,365,642,885",668,Gaming,2016
616,SIS vs BRO,"14,200,000","6,767,838,159",357,Entertainment,2016
617,Totoy kids - Español,"14,200,000","4,533,034,236",167,Film & Animation,2017
618,Trap City,"14,200,000","4,885,163,357","2,554",Music,2012
619,Anasala I أنس و أصالة,"14,100,000","3,068,619,934",407,Entertainment,2017
620,ช่อง8 : Thai Ch8,"14,100,000","5,221,155,648","20,582",Entertainment,2011
621,Zee Music Classic,"14,100,000","5,021,164,640",964,Music,2014
622,ABS-CBN News,"14,100,000","9,438,904,191","174,684",News & Politics,2009
623,MalumaVEVO,"14,100,000","17,905,081,262",168,Music,2011
624,Daily Dose Of Internet,"14,100,000","4,265,711,762",396,Entertainment,2015
625,#Refugio Mental,"14,100,000","3,410,001,605",688,Entertainment,2013
626,Invento na Hora,"14,100,000","3,851,507,257","1,189",Film & Animation,2014
627,Мастерская Настроения,"14,000,000","3,636,809,960",891,Entertainment,2013
628,Трум Трум,"14,000,000","6,272,005,457","1,987",Howto & Style,2015
629,O Canal do Joãozinho - Little Angel Português,"14,000,000","7,752,154,061",649,Entertainment,2018
630,F2Freestylers - Ultimate Soccer Skills Channel,"14,000,000","3,152,582,636",777,Sports,2011
631,AM3NlC,"14,000,000","4,816,638,383","5,446",Gaming,2012
632,Aphmau,"14,000,000","13,364,784,369","3,996",Gaming,2012
633,DM - Desi Melodies,"13,900,000","5,056,080,182",45,Music,2017
634,EdisonPts,"13,900,000","5,606,959,168","3,490",Gaming,2013
635,A2 Motivation by {Arvind Arora},"13,900,000","8,013,016,996","2,340",Entertainment,2017
636,Doc Tops,"13,900,000","2,469,411,668",437,Entertainment,2014
637,NikkieTutorials,"13,900,000","1,562,768,226",852,Howto & Style,2008
638,Mis Pastelitos,"13,900,000","2,382,268,150",534,Howto & Style,2014
639,CoryxKenshin,"13,900,000","5,816,295,650","1,628",Gaming,2009
640,Saad Lamjarred | سعد لمجرد,"13,900,000","3,931,202,248",156,Music,2012
641,Taarak Mehta Ka Ooltah Chashmah,"13,900,000","8,048,210,407","2,519",Entertainment,2014
642,Bie The Ska,"13,900,000","4,427,609,230","1,349",Entertainment,2006
643,UFC - Ultimate Fighting Championship,"13,900,000","5,422,335,319","12,258",Sports,2006
644,Kuplinov ► Play,"13,900,000","5,778,034,318","6,400",Gaming,2012
645,Rosanna Pansino,"13,800,000","4,057,054,946","1,007",Howto & Style,2010
646,Daniel LaBelle,"13,800,000","7,013,383,323",224,Comedy,2009
647,melanie martinez,"13,800,000","3,835,968,267",96,Music,2007
648,Blippi Español,"13,800,000","7,685,405,847",408,People & Blogs,2017
649,Auron,"13,800,000","2,583,408,205",694,People & Blogs,2013
650,FC Barcelona,"13,800,000","2,203,376,862","9,960",Sports,2006
651,Hongyu ASMR 홍유,"13,700,000","4,285,457,943",515,People & Blogs,2018
652,NichLmao,"13,700,000","7,269,291,992",562,People & Blogs,2018
653,Mazhavil Manorama,"13,700,000","13,822,177,908","70,454",Entertainment,2011
654,Wengie,"13,700,000","1,882,235,841",373,Howto & Style,2010
655,MNCTV OFFICIAL,"13,700,000","7,394,853,164","54,722",Entertainment,2012
656,Dang Matt Smith,"13,700,000","3,101,895,284","1,372",Entertainment,2011
657,ADEL et SAMI,"13,700,000","5,660,289,473",362,Entertainment,2018
658,MAIKI021,"13,700,000","1,893,820,151","2,919",Entertainment,2008
659,Darkar Company Studios,"13,700,000","2,201,167,967",164,Film & Animation,2009
660,NOBRU,"13,700,000","225,191,097",344,Gaming,2016
661,50 Cent,"13,600,000","8,649,139,354",417,Music,2007
662,CrashCourse,"13,600,000","1,699,669,363","1,436",Education,2006
663,Lyna,"13,600,000","5,801,199,256","4,452",Gaming,2014
664,GMM25Thailand,"13,600,000","8,727,207,691","53,533",Entertainment,2011
665,TazerCraft,"13,600,000","5,325,454,303","3,977",Gaming,2011
666,Neha Kakkar,"13,500,000","1,792,757,553",122,Music,2012
667,5-Minute Crafts Recycle,"13,500,000","7,508,843,409","2,770",People & Blogs,2019
668,The World Adventures हिन्दी,"13,500,000","2,116,009,610",854,People & Blogs,2016
669,Aadishakti Films,"13,500,000","5,860,777,243","4,599",Music,2016
670,Zig & Sharko,"13,500,000","8,306,091,825",826,Film & Animation,2015
671,infobells,"13,500,000","4,977,566,807",463,Education,2011
672,PlayHard,"13,500,000","1,926,532,344","2,138",Gaming,2014
673,ABC News,"13,400,000","11,589,784,991","71,206",News & Politics,2006
674,Wesley Safadão,"13,400,000","7,301,307,830",371,Music,2009
675,Harry Styles,"13,400,000","4,427,208,053",13,People & Blogs,2017
676,Jake Fellman,"13,400,000","10,047,123,955",352,Entertainment,2012
677,ZEE5,"13,400,000","15,778,544,226","69,731",Entertainment,2018
678,Gallina Pintadita,"13,400,000","9,054,727,117",59,Music,2011
679,YOLO,"13,400,000","638,326,662",117,Comedy,2015
680,FAPTV,"13,400,000","4,975,821,188",595,Comedy,2014
681,Narins Beauty,"13,400,000","2,046,344,368",406,Howto & Style,2014
682,TV Ana Emilia,"13,400,000","4,344,884,807",493,People & Blogs,2014
683,Kurt Hugo Schneider,"13,400,000","3,659,613,327",681,Entertainment,2007
684,AzzyLand,"13,400,000","6,045,422,126","1,620",Gaming,2015
685,Kim Loaiza,"13,400,000","1,092,248,349",12,Music,2019
686,Telemundo,"13,400,000","7,855,326,888","18,325",Entertainment,2007
687,Lindsey Stirling,"13,400,000","3,533,680,308",172,Music,2007
688,Wish 107.5,"13,300,000","5,259,245,361","1,552",Music,2014
689,H2ODelirious,"13,300,000","4,229,571,870","3,027",Gaming,2007
690,Atlantic Records,"13,300,000","11,695,828,552","1,421",Music,2006
691,jbalvinVEVO,"13,300,000","19,691,312,985",235,Music,2010
692,123 GO! Spanish,"13,200,000","4,639,173,668",340,People & Blogs,2019
693,PrestonPlayz,"13,200,000","4,655,009,420",694,Gaming,2018
694,Anaysa,"13,200,000","3,173,575,287",490,Howto & Style,2012
695,Vlad and Niki ARA,"13,200,000","6,282,100,713",404,,2019
696,MyMissAd,"13,200,000","4,522,774,674",275,People & Blogs,2014
697,JD Pantoja,"13,200,000","1,380,896,972",16,People & Blogs,2017
698,ETV Jabardasth,"13,100,000","12,102,023,764","7,805",People & Blogs,2015
699,SRK MUSIC,"13,100,000","5,680,652,976","4,895",Music,2012
700,The Q,"13,100,000","4,064,473,466",276,People & Blogs,2017
701,MSA previously My Story Animated,"13,100,000","5,149,512,811",838,Film & Animation,2019
702,The LaBrant Fam,"13,100,000","4,606,244,054",586,Comedy,2012
703,Matheus Yurley,"13,100,000","741,066,278",238,Entertainment,2015
704,theRadBrad,"13,100,000","5,791,129,136","7,672",Gaming,2006
705,Desi Gamers,"13,100,000","1,938,724,616","1,223",Gaming,2015
706,Vlad and Niki ESP,"13,100,000","4,846,410,942",409,,2018
707,Conor Maynard,"13,000,000","2,581,452,824",282,Music,2006
708,Поззи,"13,000,000","6,244,275,339","3,000",People & Blogs,2012
709,ГЛЕНТ,"13,000,000","926,279,238",221,People & Blogs,2019
710,EnriqueIglesiasVEVO,"13,000,000","14,773,705,750",137,Music,2009
711,The MriDul,"13,000,000","3,545,774,062",96,Comedy,2015
712,Calon Sarjana,"13,000,000","10,664,585",29,Entertainment,2016
713,DALLMYD,"13,000,000","1,738,311,790",616,Sports,2011
714,Saturday Night Live,"13,000,000","13,581,231,885","7,996",Entertainment,2013
715,O Reino Infantil,"12,900,000","9,539,435,945","1,055",Music,2014
716,Alex Gonzaga Official,"12,900,000","1,300,528,162",238,People & Blogs,2017
717,Gulshan Kalra,"12,900,000","6,130,500,064",339,Howto & Style,2018
718,twenty one pilots,"12,900,000","4,621,224,472",173,Music,2009
719,Matt Steffanina,"12,900,000","2,970,575,636",486,Entertainment,2011
720,The Shiny Peanut,"12,900,000","2,839,759,455","2,331",Education,2016
721,ATHLEAN-X™,"12,900,000","2,162,786,560","1,296",Howto & Style,2006
722,BeyoncéVEVO,"12,900,000","13,130,570,880",167,Music,2009
723,Everson Zoio,"12,900,000","990,362,305",587,Comedy,2009
724,Coke Studio,"12,900,000","3,274,234,309",529,Music,2014
725,O Que Não Dizer Oficial,"12,900,000","1,636,814,649",511,Comedy,2015
726,How Ridiculous,"12,900,000","5,543,670,656",390,Sports,2009
727,NishaMadhulika,"12,900,000","2,639,885,987","1,931",Howto & Style,2009
728,Dear Sir,"12,800,000","918,548,566",482,Education,2016
729,MrSuicideSheep,"12,800,000","6,722,961,376","3,212",Entertainment,2010
730,Zee Telugu,"12,800,000","6,224,195,587","86,735",Entertainment,2008
731,BBC News,"12,800,000","3,841,146,030","16,397",News & Politics,2006
732,Crazy Frog,"12,800,000","6,887,508,307",33,Music,2009
733,Infobells Bangla,"12,800,000","6,165,983,944",284,Education,2016
734,CookingShooking Hindi,"12,800,000","1,609,903,713",393,People & Blogs,2017
735,PowerfulJRE,"12,800,000","2,266,640,311",765,People & Blogs,2013
736,SMOL,"12,800,000","13,067,020,729","1,960",People & Blogs,2021
737,T-Series Hamaar Bhojpuri,"12,800,000","6,334,967,135","9,347",Entertainment,2011
738,Typical Gamer,"12,800,000","3,948,852,379","3,931",Gaming,2008
739,Hacksmith,"12,800,000","1,343,814,218",745,Science & Technology,2006
740,Katakit Baby TV,"12,800,000","5,243,185,280",169,Music,2010
741,Ray William Johnson,"12,800,000","6,682,031,898","1,354",Entertainment,2008
742,RedeTV,"12,800,000","8,366,717,082","36,800",Entertainment,2011
743,Tsuriki Show,"12,700,000","19,472,063,469","1,617",Entertainment,2019
744,Ei Nerd,"12,700,000","3,207,538,507","5,219",Entertainment,2013
745,Jazzghost,"12,700,000","4,639,145,138","5,111",Gaming,2012
746,#Refúgio Mental,"12,700,000","2,582,093,496",758,Entertainment,2013
747,NickiMinajAtVEVO,"12,700,000","8,367,047,990",93,Music,2010
748,Top Viral Talent,"12,700,000","6,503,369,315","2,282",Entertainment,2014
749,أترو/Atro,"12,700,000","2,138,416,538","1,544",Gaming,2017
750,Like Nastya Stories,"12,700,000","6,055,781,883",389,Entertainment,2019
751,Hungria Hip Hop,"12,600,000","3,960,601,978",44,Music,2013
752,T-Series Regional,"12,600,000","5,169,203,026","15,573",Entertainment,2011
753,TKOR,"12,600,000","3,337,753,407","1,430",Education,2010
