No,Youtuber,subscribers,video views,video count,category,started
89,shfa,"35,900,000","19,083,355,034",847,People & Blogs,2015
90,TEDx Talks,"35,900,000","6,660,397,688","185,006",Nonprofits & Activism,2009
91,shfa2 - شفا,"35,800,000","20,816,532,667","1,351",People & Blogs,2017
92,Jkk Entertainment,"35,700,000","15,133,442,317",194,Comedy,2017
93,Bruno Mars,"35,300,000","17,395,825,825",97,Music,2006
94,Super Simple Songs - Kids Songs,"35,300,000","37,440,873,935",600,Education,2006
95,Ozuna,"35,200,000","21,048,440,606",137,Music,2016
96,Masha and The Bear,"35,100,000","19,426,654,260",935,Shows,2014
97,one31,"34,400,000","26,969,165,355","128,901",Entertainment,2013
98,Goldmines Gaane Sune Ansune,"34,300,000","14,212,434,275","3,171",Music,2015
99,J Balvin,"33,600,000","21,489,532,517",134,Music,2011
100,Like Nastya ESP,"33,600,000","15,934,957,738",630,Entertainment,2017
101,Mikecrack,"33,500,000","13,775,632,479","1,727",Gaming,2015
102,VEGETTA777,"33,400,000","14,948,682,643","7,130",Gaming,2008
103,Ultra Bollywood,"33,400,000","15,508,274,562","9,078",Trailers,2009
104,YouTube,"33,300,000","2,725,286,912",540,News & Politics,1970
105,Markiplier,"33,300,000","18,701,808,550","5,200",Gaming,2012
106,ABP NEWS,"33,200,000","10,421,462,788","224,455",People & Blogs,2012
107,Total Gaming,"33,200,000","5,935,440,954","1,894",Gaming,2018
108,Maria Clara & JP,"33,100,000","20,224,535,670",627,People & Blogs,2015
109,Desi Music Factory,"33,000,000","9,481,987,642",125,Music,2014
110,Ryan's World,"32,900,000","51,721,734,476","2,198",Entertainment,2015
111,Geet MP3,"32,800,000","11,575,367,431",563,Music,2016
112,NoCopyrightSounds,"32,700,000","10,436,881,173","1,116",Music,2011
113,Sony PAL,"32,700,000","23,519,452,138","19,383",Shows,2014
114,SSSniperWolf,"32,500,000","20,583,922,757","3,095",Gaming,2013
115,T-Series Apna Punjab,"32,300,000","18,933,492,606","6,524",Music,2011
116,ARY Digital HD,"32,200,000","25,304,311,207","71,075",Entertainment,2016
117,KHANDESHI MOVIES,"32,100,000","10,676,727,914",191,Comedy,2013
118,HAR PAL GEO,"31,900,000","26,003,463,646","61,818",Entertainment,2008
119,JustinBieberVEVO,"31,800,000","25,304,909,929",205,Music,2009
120,Ch3Thailand,"31,600,000","20,335,720,484","76,039",Entertainment,2014
121,La Granja de Zenón,"31,500,000","22,808,879,757",558,Music,2013
122,GENIAL,"31,400,000","6,362,416,164","5,453",Howto & Style,2017
123,Eros Now Music,"31,000,000","16,582,648,732","9,807",Entertainment,2007
124,Selena Gomez,"30,900,000","11,583,101,067",182,Film & Animation,2008
125,Luis Fonsi,"30,900,000","14,480,846,921",121,Entertainment,2014
126,SMTOWN,"30,800,000","25,203,004,950","3,951",Music,2006
127,Galinha Pintadinha,"30,800,000","22,858,782,418",62,Film & Animation,2006
128,Mr Bean,"30,700,000","9,936,630,200","2,661",Shows,2006
129,Bollywood Classics,"30,600,000","19,244,430,138","2,008",Music,2012
130,Ricis Official,"30,500,000","5,134,450,983","2,003",People & Blogs,2016
131,CVS 3D Rhymes & Kids Songs,"30,500,000","18,636,699,832",338,Education,2008
132,Trap Nation,"30,400,000","13,348,694,779","2,472",Music,2012
133,Rajshri,"30,300,000","13,287,506,122","3,739",Music,2006
134,DisneyMusicVEVO,"30,100,000","24,693,346,235","1,771",Music,2010
135,Dream,"30,000,000","2,673,017,855",110,Gaming,2014
136,The Tonight Show Starring Jimmy Fallon,"29,900,000","16,006,240,303","7,897",Comedy,2006
137,AH,"29,900,000","4,082,464,979","1,809",Entertainment,2014
138,Saregama Music,"29,700,000","12,147,894,890","5,718",Entertainment,2013
139,rezendeevil,"29,600,000","12,599,347,383","11,571",Gaming,2012
140,Spinnin' Records,"29,600,000","20,075,386,002","10,826",Music,2007
141,Shawn Mendes,"29,500,000","11,742,431,673",132,Music,2011
142,Boram Tube Vlog [보람튜브 브이로그],"29,400,000","13,109,187,449",223,Entertainment,2012
143,Popular on YouTube,"29,400,000",,,,2013
144,BabyBus - Kids Songs and Cartoons,"29,200,000","23,790,606,514","1,825",Education,2016
145,AuronPlay,"29,200,000","3,935,938,048",404,Comedy,2006
146,The Weeknd,"29,100,000","19,280,816,380",123,Music,2011
147,Maluma,"28,700,000","19,638,529,002",20,Music,2018
148,Adele,"28,700,000","12,650,300,730",14,Music,2008
149,ImagineDragons,"28,600,000","14,307,239,074",67,Music,2009
150,Jingle Toons,"28,600,000","9,728,073,444",228,Film & Animation,2013
151,Worldwide Records Bhojpuri,"28,600,000","14,501,468,946","5,927",Music,2012
152,jacksepticeye,"28,600,000","15,485,608,801","4,988",Gaming,2007
153,ashish chanchlani vines,"28,600,000","4,054,589,048",147,Comedy,2009
154,Ultra Music,"28,600,000","16,201,384,834","4,665",Music,2006
155,PowerKids TV,"28,400,000","14,322,875,759","2,509",Film & Animation,2014
156,MrBeast Gaming,"28,400,000","4,943,059,589",132,Gaming,2020
157,Peppa Pig - Official Channel,"28,200,000","21,008,328,965","2,020",Film & Animation,2013
158,Techno Gamerz,"28,100,000","7,193,172,591",839,Gaming,2017
